disease,symptom,values
Rhinitis disorder,Purulent nasal discharge,1
Rhinitis disorder,Purulent rhinitis,1
Rhinitis disorder,Rhinitis due to alphaadrenergic blocking agent,1
Disorder of salivary gland,Sialectasia,1
Infection by Schistosoma,Schistosomal pigment deposition,1
Disease due to Schistosomatidae,Schistosomal pigment deposition,1
Disorder of sclera,Scleral discoloration,1
Scleredema disorder,Thickening of skin,1
Visual field defect,Scintillating scotoma,1
Visual field scotoma,Scintillating scotoma,1
Visual field defect,Angioscotoma,1
Visual field scotoma,Angioscotoma,1
Visual field defect,Ring scotoma,1
Visual field scotoma,Ring scotoma,1
Visual field defect,Quadrantic scotoma,1
Visual field scotoma,Quadrantic scotoma,1
Silofillers disease,Acute edema,1
Disorder of skin,Pruritus of skin,1
Disorder of skin,Itching of skin,1
Disorder of skin,Itch of skin,1
Disorder of skin,Skin irritation,1
Disorder of skin,Thickening of skin,1
Disorder of skin,Cryoglobulinemic purpura,1
Infection of skin,Oslers node,1
Parasitic infection of skin,Malarial pigment deposition,1
Skin lesion,Tuberculous chancre,1
Skin lesion,Clubbing of nail disorder,1
Skin lesion,Spots on skin disorder,1
Sleep apnea,Hypersomnia with sleep apnea,1
Sleep walking disorder,Sleep automatism,1
West syndrome,Seizure,1
Sphenopalatine neuralgia,Pain finding,1
Spinal cord disease,Edema of spinal cord,1
Vertebral column syndromes,Other back symptoms disorder,1
Disorder of spine,Other back symptoms disorder,1
Sporotrichosis disorder,Sporotrichotic chancre,1
Status epilepticus,Seizure,1
StevensJohnson syndrome,Erythema of skin,1
StevensJohnson syndrome,Erythematous condition,1
Disorder of stomach,Projectile vomiting disorder,1
Disorder of stomach,Gastric spasm,1
Heterotropia,Esophoria or strabismus NOS or ophthalmoplegia NOS,1
Progressive supranuclear ophthalmoplegia,Ophthalmoplegia disorder,1
Supraorbital neuralgia,Pain finding,1
Disorder of testis,Inflammatory testicular mass,1
Tetany disorder,Carpopedal spasm,1
Disorder of thorax,Intercostal neuralgia,1
Disorder of thyroid gland,Pain in thyroid,1
Disorder of thyroid gland,Tenderness of thyroid,1
TolosaHunt syndrome,Pain finding,1
Disorder of tongue,Glossodynia disorder,1
Disorder of tongue,Glossopyrosis disorder,1
Disorder of tongue,Paresthesia of tongue,1
Disorder of tongue,Numbness of tongue,1
Disorder of tongue,Hypoesthesia of tongue,1
Tooth disorder,Loosening of tooth disorder,1
Trigeminal neuralgia,Pain finding,1
Trismus finding,Motor dysfunction,1
Trypanosomiasis disorder,Trypanosomal chancre,1
Tuberculosis of skin,Tuberculous chancre,1
Diffuse disease of connective tissue,"Extensive congenital erosions, vesicles and reticulate scarring",1
Upper respiratory infection,Purulent nasal discharge,1
Upper respiratory infection,Purulent rhinitis,1
Urinary incontinence,Total urinary incontinence finding,1
Urinary incontinence,Urge incontinence of urine,1
Urinary incontinence,Primary enuresis,1
Urinary incontinence,Double incontinence finding,1
Urinary incontinence,Daytime enuresis,1
Genuine stress incontinence,Mixed incontinence,1
Female urinarygenital tract fistula,Menouria,1
Disorder of the urinary system,Polyuric state,1
Disorder of urinary tract,Polyuric state,1
Disorder of the urinary system,Genitourinary symptoms,1
Disorder of urinary tract,Genitourinary symptoms,1
Urticaria disorder,Weal,1
Urticaria morphologic abnormality,Weal,1
Urticaria disorder,Urticaria geographica,1
Urticaria morphologic abnormality,Urticaria geographica,1
Urticaria disorder,Menstrual urticaria,1
Urticaria morphologic abnormality,Menstrual urticaria,1
Urticaria disorder,Delayed dermographism,1
Urticaria morphologic abnormality,Delayed dermographism,1
Urticaria disorder,Cold reflex urticaria,1
Urticaria morphologic abnormality,Cold reflex urticaria,1
Urticaria disorder,Delayed cold sensitivity,1
Urticaria morphologic abnormality,Delayed cold sensitivity,1
Urticaria disorder,Persisting cholinergic urticaria,1
Urticaria morphologic abnormality,Persisting cholinergic urticaria,1
Urticaria disorder,Cholinergic pruritus,1
Urticaria morphologic abnormality,Cholinergic pruritus,1
Urticaria disorder,Reflex urticaria,1
Urticaria morphologic abnormality,Reflex urticaria,1
Urticaria disorder,Immune complex urticaria,1
Urticaria morphologic abnormality,Immune complex urticaria,1
Urticaria disorder,Urticarial vasculitis disorder,1
Urticaria morphologic abnormality,Urticarial vasculitis disorder,1
Disorder of vagina,Hematocolpometra,1
Disorder of vagina,Pruritus of vagina,1
Vaginitis and vulvovaginitis disorder,Vulval irritation,1
Migraine variants,Headache finding,1
Venous varices,Vulval varices in pregnancy,1
Phlebectasia,Vulval varices in pregnancy,1
Venous varices,Genital varices in the puerperium,1
Phlebectasia,Genital varices in the puerperium,1
Venous varices,Vaginal varices in the puerperium,1
Phlebectasia,Vaginal varices in the puerperium,1
Vascular disorder,Harlequin change,1
Vascular headache,Headache finding,1
Vascular headache,Thunderclap headache,1
Vasovagal attack,Syncope symptom,1
Vasovagal attack,Syncope and collapse,1
Velopharyngeal incompetence,DOther speech disturbance NOS,1
Velopharyngeal inadequacy,DOther speech disturbance NOS,1
Velopharyngeal insufficiency,DOther speech disturbance NOS,1
Velopharyngeal incompetence,DOther speech disturbance,1
Velopharyngeal inadequacy,DOther speech disturbance,1
Velopharyngeal insufficiency,DOther speech disturbance,1
Vidian neuralgia,Pain finding,1
Viral disease,Postviral excessive daytime sleepiness,1
Entoptic phenomenon,Subjective visual disturbance,1
Abnormal vision,Spherical aberration of vision,1
Dim vision,Spherical aberration of vision,1
Abnormal vision,Chromatic aberration of vision,1
Dim vision,Chromatic aberration of vision,1
Abnormal vision,Visual alteration,1
Dim vision,Visual alteration,1
Disorder of vulva,Pruritus of vulva,1
Disorder of vulva,Dryness of vulva,1
Vulvitis disorder,Inflammation of vulva,1
Verruca vulgaris,Penile warts,1
Wasting disease,Cachexia finding,1
eroderma disorder,Dry skin finding,1
Hyposecretion of salivary gland,Druginduced xerostomia,1
Aptyalism,Druginduced xerostomia,1
Bradyarrhythmia,Fetal bradycardia,1
Post poliomyelitis syndrome,D Post polio exhaustion,1
Peripheral vascular disease,Paroxysmal vascular dilatation,1
Peripheral vascular disease,Pain at rest due to peripheral vascular disease,1
Corneal neovascularization,Vascularization of cornea,1
Eosinophilia myalgia syndrome,Pain finding,1
Erythema infectiosum,Erythema of skin,1
Erythema infectiosum,Erythematous condition,1
Complex partial epileptic seizure,Seizure,1
Psychomotor epilepsy,Seizure,1
Complex partial epileptic seizure,Partial seizure,1
Psychomotor epilepsy,Partial seizure,1
Frontal lobe epilepsy,Seizure,1
Epilepsia partialis continua,Seizure,1
Kojevnikovs epilepsy,Seizure,1
Epilepsia partialis continua,Partial seizure,1
Kojevnikovs epilepsy,Partial seizure,1
Essential hypertension,Paroxysmal hypertension,1
Monoplegia disorder,Transient monoplegia,1
Monoplegia disorder,Monoparesis disorder,1
Akinesia,Motor dysfunction,1
Livedo reticularis,Pale complexion,1
Synovial cyst,Mass of musculoskeletal structure,1
Erythema marginatum,Erythema of skin,1
Erythema marginatum,Erythematous condition,1
Brachial plexus neuralgia,Pain finding,1
Nutritional marasmus,Emaciated,1
Preinfarction syndrome,Angina,1
Preinfarction syndrome,Ischemic chest pain,1
Preinfarction syndrome,Pain finding,1
Spinocerebellar ataxia,Ataxia finding,1
Soft tissue infection,Purulent nasal discharge,1
Soft tissue infection,Purulent rhinitis,1
Umbilical granuloma,Disorder of umbilicus,1
Primary dysmenorrhea,Pain finding,1
Primary dysmenorrhea,Spasmodic dysmenorrhea,1
Migraine disorder,Headache finding,1
Sciatic neuropathy,Sciatica disorder,1
Diabetic ophthalmoplegia,Ophthalmoplegia disorder,1
Chronic pain finding,Alteration in comfort: chronic pain,1
Chronic pain finding,Chronic abdominal pain,1
Chronic pain finding,Chronic pelvic pain of female,1
Chronic pain finding,Chronic intractable pain,1
Chronic pain finding,Other chronic pain,1
Chronic pain finding,Generalized chronic body pains,1
Chronic pain finding,Chronic vaginal pain,1
Hypersensitivity angiitis,Urticarial vasculitis disorder,1
Atrophoderma,Stellate pseudoscar,1
Disorder of brain stem,Palatal myoclonus,1
Disorder of brain stem,Oculopalatal myoclonus,1
Hemorrhagic diarrhea,Diarrhea symptom,1
Hemorrhagic diarrhea,Loose stool,1
Myocardial ischemia,Angina,1
Ischemic heart disease,Angina,1
Myocardial ischemia,Ischemic chest pain,1
Ischemic heart disease,Ischemic chest pain,1
Biliary colic,Abdominal pain,1
Gallbladder pain,Abdominal pain,1
Biliary colic,Colicky pain,1
Gallbladder pain,Colicky pain,1
Biliary colic,Pain of digestive structure,1
Gallbladder pain,Pain of digestive structure,1
Disorder of pregnancy disorder,Symptomatic disorders in pregnancy,1
Osteochondropathy,Bone pain finding,1
Osteochondropathy,Malignant bone pain,1
Osteochondropathy,Clavicle pain,1
Disorder of diaphragm,Paradoxical diaphragmatic movement,1
Disorder of diaphragm,Diaphragmatic tic,1
Disorder of diaphragm,Diaphragmatic paresis,1
Meralgia paresthetica disorder,Pain finding,1
Meralgia paresthetica disorder,Lateral femoral cutaneous neuralgia,1
Internuclear ophthalmoplegia,Ophthalmoplegia disorder,1
Exophthalmic ophthalmoplegia,Ophthalmoplegia disorder,1
Pylorospasm,Spasm finding,1
Cyclical vomiting syndrome,Uncontrollable vomiting,1
Anal spasm,Bowel spasm,1
Angina decubitus disorder,Angina,1
Angina decubitus disorder,Ischemic chest pain,1
Angina decubitus disorder,Pain finding,1
Total internal ophthalmoplegia,Internal ophthalmoplegia,1
Esophoria disorder,Incomitant esophoria disorder,1
Esophoria disorder,Esophoria or strabismus NOS or ophthalmoplegia NOS,1
Lagophthalmos,Lid retraction &or lag,1
Excessive tear production,Watering or tearing eyes & CO,1
Excessive tear production,Has watering eyes,1
Excessive tear production,Watery eye,1
Cholinergic urticaria,Persisting cholinergic urticaria,1
Cholinergic urticaria,Cholinergic pruritus,1
Toxic erythema disorder,Erythema of skin,1
Toxic erythema disorder,Erythematous condition,1
Toxic erythema disorder,Familial annular erythema,1
Placental polyp,Mass of female genital structure,1
KayserFleischer ring,Chalcosis of cornea,1
Diarrhea of presumed infectious origin,Diarrhea symptom,1
Diarrhea of presumed infectious origin,Loose stool,1
Postherpetic trigeminal neuralgia,Pain finding,1
"Other late congenital syphilis, symptomatic",Saber shin,1
Vitamin A deficiency with Bitots spot AND conjunctival xerosis,Bitots spots,1
Other and unspecified extrapyramidal diseases and abnormal movement disorders disorder,Athetoid movement,1
Other extrapyramidal disease and abnormal movement disorders disorder,Athetoid movement,1
Other and unspecified extrapyramidal diseases and abnormal movement disorders disorder,Paroxysmal dystonia,1
Other extrapyramidal disease and abnormal movement disorders disorder,Paroxysmal dystonia,1
Vascular myelopathy,Edema of spinal cord,1
Monoplegia of upper limb,Monoparesis  arm,1
Other specified paralytic syndromes,Flaccid paralysis,1
Other specified paralytic syndromes,Drummers palsy,1
Other specified paralytic syndromes,Posthemiplegic chorea,1
Other specified paralytic syndromes,Todds paresis,1
Migraine with aura,Headache finding,1
Disorder of meninges,Meningeal irritation,1
Glossopharyngeal neuralgia,Pain finding,1
Other nerve root or plexus disorder,Intercostal neuralgia,1
Other nerve root and plexus disorders,Intercostal neuralgia,1
Other nerve root or plexus disorder,Ilioinguinal nerve neuralgia,1
Other nerve root and plexus disorders,Ilioinguinal nerve neuralgia,1
Other mononeuritis lower limb,Cruralgia,1
Proliferative diabetic retinopathy disorder,OE  right eye proliferative diabetic retinopathy,1
Proliferative diabetic retinopathy disorder,OE  left eye proliferative diabetic retinopathy,1
Other intraretinal microvascular abnormality disorder,Retinal arteries silverwire,1
Transient arterial retinal occlusion,Amaurosis fugax,1
Psychophysical visual disturbance,Visual hallucinations,1
Psychophysical visual disturbance,Unformed visual hallucinations,1
Psychophysical visual disturbance,Formed visual hallucinations,1
Psychophysical visual disturbance,Visual alteration,1
Psychophysical visual disturbance,Formed hallucinations of people,1
Diffuse interstitial keratitis,Diffuse inflammation,1
Localized vascularization of cornea,Vascularization of cornea,1
Anterior corneal pigmentation,Stahlis line,1
Conjunctival cyst,Mass of eye structure,1
Conjunctival cyst,Swelling of structure of eye,1
Other conjunctival disorders,Mucus conjunctival discharge,1
Other conjunctival disorders,Mucopurulent conjunctival discharge,1
Other eyelid disorder NOS,Rosenbachs sign,1
Other eyelid disorders,Rosenbachs sign,1
Other eyelid disorder NOS,Swelling of eyelid finding,1
Other eyelid disorders,Swelling of eyelid finding,1
Other disorders of sclera,Scleral discoloration,1
Other scleral disorders NOS,Scleral discoloration,1
Other disorders of sclera,Sclerotomal pain,1
Other scleral disorders NOS,Sclerotomal pain,1
Scleral staphyloma,Total scleral ectasia,1
Disorder of pinna,Generalized tenderness in pinna,1
Benign paroxysmal positional vertigo disorder,Benign paroxysmal positional vertigo nystagmus,1
Vertigo of central origin,Subjective vertigo,1
Vertigo of central origin,Brain stem vertigo,1
Other disorders of ear,Ear pressure sensation,1
Other ear disorders,Ear pressure sensation,1
Other disorders of ear,Sensation of pressure in ear,1
Other ear disorders,Sensation of pressure in ear,1
Other disorders of ear,Sensation of blocked ears,1
Other ear disorders,Sensation of blocked ears,1
Other disorders of ear,Mass of ear structure,1
Other ear disorders,Mass of ear structure,1
Other disorders of ear,Swelling of ear structure,1
Other ear disorders,Swelling of ear structure,1
Vulval varices,Vulval varices in pregnancy,1
Vulval varices,Genital varices in the puerperium,1
Other specified diseases of circulatory system,Prominent leg veins  symptom,1
Sore throat  chronic,Pain in throat,1
Sore throat  chronic,Sore throat symptom,1
Simple chronic bronchitis,Bronchorrhea,1
Simple chronic bronchitis,Smokers cough,1
Acute pulmonary edema due to fumes ANDOR vapors,Acute edema,1
Acute pulmonary edema,Acute edema,1
Gingival and periodontal disease,Sore gums,1
Cyst of oral soft tissue,Mass of oral cavity,1
Other specified tongue conditions NOS,Hypoesthesia of tongue,1
Other specified tongue conditions,Hypoesthesia of tongue,1
Disorder of function of stomach,Gastrointestinal symptom,1
Other appendix diseases NOS,Appendiceal colic,1
Other diseases of appendix NOS,Appendiceal colic,1
Other appendix diseases NOS,Appendicular colic,1
Other diseases of appendix NOS,Appendicular colic,1
Functional diarrhea,Diarrhea due to ingestion of unabsorbable substances,1
Other specified disorders of prostate,Prostatorrhea,1
Other specified disorders of breast,Subinvolution of breast,1
Other specified disorders of breast,"Breast subinvolution, postpartum",1
Other specified disorders of breast,Postpartum subinvolution of breast,1
Other specified disorders of breast,Peau dorange surface of breast,1
Other specified disorders of breast,Generalized tenderness of breast,1
Other specified disorders of breast,Localized tenderness of breast,1
Endometriosis of ovary,Pain finding,1
Endometriosis of pelvic peritoneum,Pain finding,1
Endometriosis of rectovaginal septum and vagina,Pain finding,1
Endometriosis of intestine,Pain finding,1
Endometriosis in scar of skin,Pain finding,1
Noninflammatory disorder of the vagina,Abnormal vaginal odor,1
Menopausal and postmenopausal disorders,Menopausal problem,1
Eclampsia in puerperium,Seizure,1
Hyperemesis gravidarum with metabolic disturbance  delivered,Finding of vomiting,1
Hyperemesis gravidarum with metabolic disturbance  delivered,Vomiting symptom,1
Other disorder of lactation unspecified,Breastfeeding painful,1
Other and unspecified disorders of lactation,Breastfeeding painful,1
Other disorder of lactation NOS,Breastfeeding painful,1
Other abnormal granulation tissue NOS,Abnormal granulation tissue,1
Other specified nail disease NOS,Subungual hyperkeratosis,1
Other specified nail disease,Subungual hyperkeratosis,1
Other specified nail disease NOS,Koilonychia,1
Other specified nail disease,Koilonychia,1
Other specified nail disease NOS,Lamellar nail splitting,1
Other specified nail disease,Lamellar nail splitting,1
Other specified nail disease NOS,Beaus lines,1
Other specified nail disease,Beaus lines,1
Other specified nail disease NOS,Clubbing of nail disorder,1
Other specified nail disease,Clubbing of nail disorder,1
Other specified nail disease NOS,Onychomadesis,1
Other specified nail disease,Onychomadesis,1
Other specified nail disease NOS,Change in nail appearance,1
Other specified nail disease,Change in nail appearance,1
Other specified nail disease NOS,Nail shedding,1
Other specified nail disease,Nail shedding,1
Other specified nail disease NOS,Splits in nails,1
Other specified nail disease,Splits in nails,1
Other specified nail disease NOS,Grooving of nail,1
Other specified nail disease,Grooving of nail,1
Other specified nail disease NOS,Thin nails,1
Other specified nail disease,Thin nails,1
Other specified nail disease NOS,Transverse split nail,1
Other specified nail disease,Transverse split nail,1
Other specified nail disease NOS,Splitting toenail,1
Other specified nail disease,Splitting toenail,1
Other specified sweat gland disorders,Unpleasant odor of axilla,1
Other specified sweat gland disorders,Unpleasant odor of genitalia,1
Derangement of knee disorder,Knee locking,1
Other specified joint disorders of the hand,Finger joint laxity,1
Other specified joint disorders of the lower leg,Infrapatellar tenderness,1
Other specified joint disorders of the ankle and foot,Metatarsophalangeal joint laxity,1
"Joint disorder NOS, of shoulder region",Popeye sign,1
"Joint disorder NOS, of shoulder region",Shoulder joint laxity,1
"Joint disorder NOS, of the upper arm",Elbow joint laxity,1
"Joint disorder NOS, of the forearm",Wrist joint laxity,1
Arthropathy of joint of hand,Thumb joint laxity,1
Diffuse cervicobrachial syndrome,Cervicobrachialgia,1
Disorder of sacrum,Sacrocoxalgia,1
Disorder of sacrum,Sacral back pain,1
Disorder of sacrum,Sacroiliac joint pain,1
Disorder of sacrum,Sacroiliac joint laxity,1
Disorder of sacrum,Sacroiliac joint stiff,1
Other disorder of coccyx RETIRED,Pain in the coccyx,1
Back disorders  other,Lumbar ache  renal,1
Back disorders  other,Cervical spine stiff,1
Enthesopathy of ankle ANDOR tarsus,Metatarsalgia finding,1
"Other synovial, tendon and bursa disorders",Tendon sheath effusion,1
"Other disorders of the synovium, tendon and bursa",Tendon sheath effusion,1
"Other synovial, tendon and bursa disorders",Nodule on tendon,1
"Other disorders of the synovium, tendon and bursa",Nodule on tendon,1
"Other synovial, tendon and bursa disorders",Thickening of tendon sheath,1
"Other disorders of the synovium, tendon and bursa",Thickening of tendon sheath,1
Ganglion of joint,Mass of musculoskeletal structure,1
"Muscle, ligament and fascia disorders",Spastic paraparesis,1
"Muscle, ligament and fascia disorders",Musculoskeletal hypomobility,1
"Muscle, ligament and fascia disorders",Musculoskeletal immobility,1
"Muscle, ligament and fascia disorders",Cerebral paraparesis,1
"Muscle, ligament and fascia disorders",Weakness of face muscles,1
"Muscle, ligament and fascia disorders",Floppy muscles,1
"Muscle, ligament and fascia disorders",Muscle tone atonic,1
"Muscle, ligament and fascia disorders",Upper facial weakness,1
"Muscle, ligament and fascia disorders",Quadriceps weakness,1
"Muscle, ligament and fascia disorders",Calf muscle weakness,1
Other soft tissue disorders,Polyalgia,1
Other soft tissue disorders,Mass of body region,1
Other soft tissue disorders,Mass of trunk,1
Transitory tachypnea of newborn disorder,Tachypnea finding,1
Perinatal jaundice due to hepatocellular damage,Hepatocellular jaundice,1
Convulsions in the newborn,Seizure,1
Other specified conditions originating in the perinatal period,Fetal souffle,1
Other specified conditions originating in the perinatal period,Excessive crying of newborn,1
Other specified conditions originating in the perinatal period,Disorder of umbilicus,1
Corneal deposit,Corneal pigmentations and deposits,1
Corneal deposit,Melanin pigmentation of cornea,1
Corneal deposit,Blood pigmentation of cornea,1
External ophthalmoplegia,Ophthalmoplegia disorder,1
Multiple joint pain,Joint pain,1
Deficiency state,Starvation disorder,1
Undernourished,Starvation disorder,1
Nutritional deficiency,Starvation disorder,1
Deficiency state,Inanition disorder,1
Undernourished,Inanition disorder,1
Nutritional deficiency,Inanition disorder,1
Bacterial infection of skin,Meningococcal rash,1
Fukuhara syndrome,Seizure,1
Myoclonus epilepsy AND ragged red fibers,Seizure,1
Myoclonic epilepsy  ragged red fibers,Seizure,1
Hypogonadism with anosmia,Loss of sense of smell,1
Vascular disease of the skin,Face goes red,1
Vascular disease of the skin,Stellate pseudoscar,1
Skin hypopigmented,Achromia of skin disorder,1
Depigmentation,Achromia of skin disorder,1
Disorder of skin ANDOR subcutaneous tissue,Blanching of skin finding,1
Disorder of skin ANDOR subcutaneous tissue,Scaly scalp,1
Disorder of skin ANDOR subcutaneous tissue,Perineal irritation,1
Disorder of skin ANDOR subcutaneous tissue,Abnormal complexion,1
Disorder of skin ANDOR subcutaneous tissue,Stinging of skin,1
Disorder of skin ANDOR subcutaneous tissue,Sore skin finding,1
Disorder of reproductive system,Pruritus of genital organs,1
Algoneurodystrophy disorder,Pain finding,1
Fatal familial insomnia,Insomnia disorder,1
Cardiac syndrome ,Chest pain,1
Cardiac syndrome ,Other chest pain,1
Endolymphatic hydrops,Secondary endolymphatic hydrops,1
Familial neonatal seizures,Seizure,1
Benign neonatal familial convulsions,Seizure,1
Mauriacs syndrome,Large liver,1
Myxedema heart disease,Hard edema,1
Ophthalmoplegic migraine,Headache finding,1
Ophthalmoplegic migraine,Ophthalmoplegia disorder,1
Abortive cerebellar ataxia,Cerebellar ataxia,1
Obstipation disorder,Constipation disorder,1
Urticaria due to cold,Cold reflex urticaria,1
Urticaria due to cold,Delayed cold sensitivity,1
Angular cheilitis,Sore lip or angular stomatitis &or cheilitis,1
Perleche,Sore lip or angular stomatitis &or cheilitis,1
Necrolytic migratory erythema,Erythema of skin,1
Necrolytic migratory erythema,Erythematous condition,1
Dystrophia unguium,Koilonychia,1
Dystrophia unguium,Lamellar nail splitting,1
Dystrophia unguium,Beaus lines,1
Retraction of nipple disorder,Other signs and symptoms in breast,1
Syphilitic gumma disorder,Gummatous inflammation morphologic abnormality,1
Joint function disorder,Range of joint movement increased,1
Joint function disorder,Joint laxity,1
iphodynia,Chest pain,1
iphodynia,Bone pain finding,1
Achillodynia,Pain in lower limb finding,1
Achillodynia,Tenalgia,1
Ventilatory defect,Abnormal breathing,1
Ether apnea,Druginduced apnea,1
Continuous murmur,"DHeart murmur, undiagnosed",1
Chronic constipation with overflow,Diarrhea symptom,1
Chronic constipation with overflow,Loose stool,1
Nervous diarrhea,Diarrhea symptom,1
Nervous diarrhea,Loose stool,1
Hydrorrhea gravidarum,Clinical sign related to pregnancy,1
Exhaustion delirium,Exhaustion,1
Physiological disturbance associated with mood,Mood hypersomnia,1
General areflexia,Abnormal reflex,1
Acroparesthesia finding,Paresthesia finding,1
Allergic headache,Headache finding,1
Atypical neuralgia,Neuropathic pain,1
Atypical neuralgia,Pain finding,1
Stump neuralgia,Pain finding,1
Athetoid paralysis,Athetoid movement,1
Athetoid paralysis,Involuntary movement,1
Athetoid paralysis,Involuntary movement symptom,1
Hypotensive syncope,Syncope symptom,1
Hypotensive syncope,Syncope and collapse,1
Tussive syncope,CO  cough,1
Amusia,Other and unspecified symbolic dysfunctions,1
Amusia,DOther symbolic dysfunction,1
Anosognosia,DOther general symptoms NOS,1
Anosognosia,DOther general symptoms,1
Anarthria,DOther speech disturbance NOS,1
Anarthria,DOther speech disturbance,1
Motor apraxia,Other and unspecified symbolic dysfunctions,1
Motor apraxia,DOther symbolic dysfunction,1
Generalized seizure,Seizure,1
Generalized seizure,Tonicclonic seizure,1
Generalized seizure,Grand mal seizure,1
Central convulsion,Seizure,1
Puerperal convulsion,Seizure,1
Tetanic convulsion,Seizure,1
Epileptic cry,Seizure,1
Postseizure delirium,Seizure,1
Stress seizure,Seizure,1
Cortical vertigo,Subjective vertigo,1
Ocular vertigo,Subjective vertigo,1
Ocular vertigo,Dizziness and giddiness,1
Cerebellar vertigo,Subjective vertigo,1
Annular erythema,Erythema of skin,1
Annular erythema,Erythematous condition,1
Annular erythema,Familial annular erythema,1
"Simple partial seizure, consciousness not impaired",Seizure,1
"Simple partial seizure, consciousness not impaired",Partial seizure,1
Motor cortex epilepsy,Seizure,1
Cycloplegia,Internal ophthalmoplegia,1
Disorder of vein,Distended umbilical veins,1
Respiratory tract hemorrhage disorder,Blood streaked sputum,1
Neonatal diarrhea,Diarrhea symptom,1
Neonatal diarrhea,Loose stool,1
Ocularmucous membrane syndrome,Erythema of skin,1
Ocularmucous membrane syndrome,Erythematous condition,1
Gastric polyp,Mass of digestive structure,1
Gastric polyposis,Mass of digestive structure,1
Application site disorder,Application site anesthesia,1
LennoxGastaut syndrome disorder,Seizure,1
Juvenile myxedema,Hard edema,1
Polyp of larynx,Mass of respiratory structure,1
Spasm of back muscles,Spasm finding,1
Autonomic facial cephalgia,Headache finding,1
Carotidynia,Headache finding,1
Autonomic facial cephalgia,Pain finding,1
Carotidynia,Pain finding,1
Liver mass,Mass of digestive structure,1
Induration of skin,Changes in skin texture,1
Endometriosis of pelvis,Pain finding,1
Angiomatosis of retina,Mass of eye structure,1
Angiomatosis of retina,Swelling of structure of eye,1
Color vision deficiency,Visual alteration,1
Congenital disease,"Extensive congenital erosions, vesicles and reticulate scarring",1
Retinal edema,Localized retinal edema,1
Retinal edema,Peripheral retinal edema,1
Disorder of auditory system,Leudets tinnitus,1
Auditory dysfunction,Leudets tinnitus,1
Hearing disorder,Leudets tinnitus,1
Histologic type of inflammatory skin disorder,Trypanosomal chancre,1
Diffuse dermatitis,Diffuse inflammation,1
Abscess of umbilicus,Disorder of umbilicus,1
Cellulitis of umbilicus,Disorder of umbilicus,1
Acute lymphangitis of umbilicus,Disorder of umbilicus,1
Juvenile pyoderma,Pustular rash morphologic abnormality,1
Bacterid,Pustular rash morphologic abnormality,1
Pustular bacterid,Pustular rash morphologic abnormality,1
"Erythema multiforme, dermal type",Erythema of skin,1
"Erythema multiforme, dermal type",Erythematous condition,1
"Erythema multiforme, mixed dermalepidermal type",Erythema of skin,1
"Erythema multiforme, mixed dermalepidermal type",Erythematous condition,1
"Erythema multiforme, epidermal type",Erythema of skin,1
"Erythema multiforme, epidermal type",Erythematous condition,1
Erythema iris,Erythema of skin,1
Erythema iris,Erythematous condition,1
Herpes iris,Erythema of skin,1
Herpes iris,Erythematous condition,1
Immunologic urticaria,Immune complex urticaria,1
"Urticaria pigmentosa, maculopapular type",Macule morphologic abnormality,1
Pruritus senilis,Pruritus of skin,1
Pruritus senilis,Itching of skin,1
Pruritus senilis,Itch of skin,1
Pruritus senilis,Other specified pruritic conditions disorder,1
Prurigo simplex,Pruritus of skin,1
Prurigo simplex,Itching of skin,1
Prurigo simplex,Itch of skin,1
Prurigo nodularis disorder,Pruritus of skin,1
Prurigo nodularis disorder,Itching of skin,1
Prurigo nodularis disorder,Itch of skin,1
Erythema gyratum repens,Erythema of skin,1
Erythema gyratum repens,Erythematous condition,1
Erythema annulare centrifugum,Erythema of skin,1
Erythema annulare centrifugum,Erythematous condition,1
Erythema annulare centrifugum,Familial annular erythema,1
Erythema dyschromicum perstans,Erythema of skin,1
Erythema dyschromicum perstans,Erythematous condition,1
"Other specified erythematous condition, NEC",Erythema of skin,1
"Other specified erythematous condition, NEC",Erythematous condition,1
Erythema elevatum diutinum disorder,Erythema of skin,1
Erythema elevatum diutinum disorder,Erythematous condition,1
Ulerythema,Erythema of skin,1
Ulerythema,Erythematous condition,1
Ulerythema of cheeks,Erythema of skin,1
Ulerythema of cheeks,Erythematous condition,1
Granulosis rubra nasi,Erythema of skin,1
Granulosis rubra nasi,Erythematous condition,1
Erythromelanosis follicularis of face ANDOR neck,Erythema of skin,1
Erythromelanosis follicularis of face ANDOR neck,Erythematous condition,1
Chlorpromazine pigmentation,Drug pigmentation,1
Chrysoderma,Drug pigmentation,1
Hypertrophic condition of skin,Abnormal granulation tissue,1
Painful piezogenic pedal papules,Pain finding,1
Painful pigmented pressure papules,Pain finding,1
Surfers nodules,"DLocal superficial swelling, mass or lump NOS",1
Surfers nodules,"DLocal superficial swelling, mass or lump",1
Slap nodules of wrist,"DLocal superficial swelling, mass or lump NOS",1
Slap nodules of wrist,"DLocal superficial swelling, mass or lump",1
Pickers nodules,"DLocal superficial swelling, mass or lump NOS",1
Pickers nodules,"DLocal superficial swelling, mass or lump",1
Musculoskeletal and connective tissue disorder,Polyalgia,1
"Effusion of joint of other site, NEC",Painful swelling of joint,1
Snapping hip disorder,Other joint symptoms of the pelvic region and thigh or hip snapping or irritable hip,1
Lumbagosciatica due to displacement of lumbar intervertebral disc,Pain finding,1
