disease_cui,rid_caller_caller,rid_caller_caller,snomed_code_caller,Terms_caller,rid_caller,Number of diseases,rid_caller,snomed_code,Terms,rid,Number of symptoms
C0029788,50,359.0,206445003.0,Malarial pigment deposition,70.0,5.0,415,201320001,Other specified skin disorders,14,9
C0029790,1790,554.0,34570004.0,Loosening of tooth (disorder),290.0,2.0,1563,197510002,[X]Other specified disorders of teeth and supporting structures,622,1
C0029794,1220,618.0,444827008.0,Erythema of skin,3.0,89.0,480,201383002,[X]Other specified erythematous conditions,20,6
C0029794,1220,830.0,86735004.0,Erythematous condition,3.0,89.0,480,201383002,[X]Other specified erythematous conditions,20,6
C0029794,51,625.0,65036008.0,Erythema scarlatiniforme,459.0,1.0,480,201383002,[X]Other specified erythematous conditions,20,6
C0029794,52,595.0,238684007.0,Erythema fugax,575.0,1.0,480,201383002,[X]Other specified erythematous conditions,20,6
C0029794,1221,792.0,277172003.0,Erythematous ear canal,382.0,1.0,480,201383002,[X]Other specified erythematous conditions,20,6
C0029794,1493,288.0,298138003.0,Micropapular weal,542.0,1.0,480,201383002,[X]Other specified erythematous conditions,20,6
C0029794,1791,532.0,413223001.0,Erythematous mucosa,552.0,1.0,480,201383002,[X]Other specified erythematous conditions,20,6
C0029805,1494,453.0,9368001.0,Circumoral rhytides,686.0,1.0,462,201079006,Other specified atrophic and hypertrophic conditions of skin,364,2
C0029805,1494,453.0,9368001.0,Circumoral rhytides,686.0,1.0,1570,201088002,Other specified atrophic and hypertrophic conditions of skin NOS,364,2
C0029805,2106,553.0,134193000.0,Stellate pseudoscar,72.0,5.0,462,201079006,Other specified atrophic and hypertrophic conditions of skin,364,2
C0029805,2106,553.0,134193000.0,Stellate pseudoscar,72.0,5.0,1570,201088002,Other specified atrophic and hypertrophic conditions of skin NOS,364,2
C0029816,2107,531.0,240080003.0,Benign congenital hypotonia (disorder),163.0,3.0,37,194532004,[X]Other specified myoneural disorders,1114,1
C0029819,1792,33.0,289524006.0,Swelling of vagina,756.0,1.0,1253,198591004,[X]Other specified noninflammatory disorders of vagina,1580,1
C0029821,53,715.0,11114002.0,Sore gums,334.0,2.0,334,196372009,Other specified periodontal disease,371,2
C0029821,53,715.0,11114002.0,Sore gums,334.0,2.0,771,196378008,Other specified periodontal disease NOS,371,2
C0029821,1793,809.0,70346000.0,Gingival edema,689.0,1.0,334,196372009,Other specified periodontal disease,371,2
C0029821,1793,809.0,70346000.0,Gingival edema,689.0,1.0,771,196378008,Other specified periodontal disease NOS,371,2
C0029827,2108,245.0,111005008.0,Schistosomal pigment deposition,94.0,4.0,1652,187121003,Other specified schistosoma NOS,507,1
C0029839,1495,22.0,238697009.0,Immune complex urticaria,44.0,7.0,706,201271001,Other specified urticaria NOS,923,1
C0029856,938,567.0,37864005.0,Subsultus tendinum,787.0,1.0,1153,203848000,[X]Other synovitis and tenosynovitis,730,1
C0030286,939,688.0,102630003.0,Pancreatic symptom,377.0,1.0,1635,3855007,Disorder of pancreas,1045,1
C0030331,2109,618.0,444827008.0,Erythema of skin,3.0,89.0,156,76097009,Erythema nodosum migrans,816,1
C0030331,2109,830.0,86735004.0,Erythematous condition,3.0,89.0,156,76097009,Erythema nodosum migrans,816,1
C0030353,1496,250.0,300849006.0,Mass of eye structure,41.0,7.0,520,248487006,Optic disc swelling,466,1
C0030353,1496,250.0,300849006.0,Mass of eye structure,41.0,7.0,739,73221001,Optic papillitis,466,1
C0030353,1496,250.0,300849006.0,Mass of eye structure,41.0,7.0,1400,423341008,Optic disc edema,466,1
C0030353,1496,786.0,45177002.0,Swelling of structure of eye,41.0,7.0,520,248487006,Optic disc swelling,466,1
C0030353,1496,786.0,45177002.0,Swelling of structure of eye,41.0,7.0,739,73221001,Optic papillitis,466,1
C0030353,1496,786.0,45177002.0,Swelling of structure of eye,41.0,7.0,1400,423341008,Optic disc edema,466,1
C0030436,1222,618.0,444827008.0,Erythema of skin,3.0,89.0,61,200766001,Parakeratosis (disorder),1065,1
C0030436,1222,618.0,444827008.0,Erythema of skin,3.0,89.0,504,65068000,Parakeratosis (morphologic abnormality),1065,1
C0030436,1222,830.0,86735004.0,Erythematous condition,3.0,89.0,61,200766001,Parakeratosis (disorder),1065,1
C0030436,1222,830.0,86735004.0,Erythematous condition,3.0,89.0,504,65068000,Parakeratosis (morphologic abnormality),1065,1
C0030463,1794,241.0,127324008.0,Myoclonic disorder,7.0,29.0,620,60935008,Paramyoclonus multiplex,947,1
C0030469,1795,339.0,82297005.0,Congestion of nasal sinus,85.0,4.0,508,7393007,Disorder of nasal sinus,1260,1
C0030486,1223,793.0,23042008.0,Spinal paraparesis,427.0,1.0,1022,60389000,Paraplegia (disorder),215,2
C0030486,940,711.0,192966000.0,Flaccid paraplegia,604.0,1.0,1022,60389000,Paraplegia (disorder),215,2
C0030508,54,491.0,230497000.0,Sleep-related head banging,460.0,1.0,722,58690002,Parasomnia (disorder),89,3
C0030508,1796,347.0,247951006.0,Reaction to sudden wakening,630.0,1.0,722,58690002,Parasomnia (disorder),89,3
C0030508,55,558.0,247962006.0,Sleep automatism,91.0,4.0,722,58690002,Parasomnia (disorder),89,3
C0030567,56,493.0,308909003.0,Parkinsonian tremor,508.0,1.0,1142,49049000,Parkinson's disease,1458,1
C0030846,57,67.0,300513000.0,Lesion of penis,653.0,1.0,1074,33958003,Disorder of penis,42,4
C0030846,1224,629.0,198035003.0,Edema of penis,144.0,3.0,1074,33958003,Disorder of penis,42,4
C0030846,1225,557.0,69069001.0,Pruritus of penis,162.0,3.0,1074,33958003,Disorder of penis,42,4
C0030846,1497,54.0,285375003.0,Pain in penis (finding),745.0,1.0,1074,33958003,Disorder of penis,42,4
C0031029,58,141.0,300854002.0,Mass of oral cavity,42.0,7.0,251,81407003,Apical granuloma,663,1
C0031117,1226,430.0,247398009.0,Neuropathic pain,13.0,16.0,1020,42658009,Disorder of the peripheral nervous system,120,3
C0031117,1226,430.0,247398009.0,Neuropathic pain,13.0,16.0,1021,302226006,Peripheral nerve disease,120,3
C0031117,59,23.0,247389006.0,Intercostal neuralgia,98.0,4.0,1020,42658009,Disorder of the peripheral nervous system,120,3
C0031117,59,23.0,247389006.0,Intercostal neuralgia,98.0,4.0,1021,302226006,Peripheral nerve disease,120,3
C0031117,60,292.0,247387008.0,Cruralgia,113.0,4.0,1020,42658009,Disorder of the peripheral nervous system,120,3
C0031117,60,292.0,247387008.0,Cruralgia,113.0,4.0,1021,302226006,Peripheral nerve disease,120,3
C0031121,942,430.0,247398009.0,Neuropathic pain,13.0,16.0,1506,25416002,Peripheral neuralgia,7,12
C0031121,1798,411.0,22253000.0,Pain (finding),2.0,136.0,1506,25416002,Peripheral neuralgia,7,12
C0031121,1498,194.0,23056005.0,Sciatica (disorder),39.0,7.0,1506,25416002,Peripheral neuralgia,7,12
C0031121,624,189.0,35496009.0,Femoral neuralgia,143.0,3.0,1506,25416002,Peripheral neuralgia,7,12
C0031121,625,23.0,247389006.0,Intercostal neuralgia,98.0,4.0,1506,25416002,Peripheral neuralgia,7,12
C0031121,1499,462.0,247385000.0,Lateral femoral cutaneous neuralgia,105.0,4.0,1506,25416002,Peripheral neuralgia,7,12
C0031121,1797,185.0,247386004.0,Obturator neuralgia,101.0,4.0,1506,25416002,Peripheral neuralgia,7,12
C0031121,1227,292.0,247387008.0,Cruralgia,113.0,4.0,1506,25416002,Peripheral neuralgia,7,12
C0031121,1228,423.0,247388003.0,Segmental peripheral neuralgia,192.0,3.0,1506,25416002,Peripheral neuralgia,7,12
C0031121,941,639.0,247393000.0,Ilioinguinal nerve neuralgia,48.0,7.0,1506,25416002,Peripheral neuralgia,7,12
C0031121,626,571.0,247395007.0,Genitofemoral nerve neuralgia,59.0,6.0,1506,25416002,Peripheral neuralgia,7,12
C0031121,1500,517.0,247396008.0,Testicular neuralgia,187.0,3.0,1506,25416002,Peripheral neuralgia,7,12
C0031142,1501,290.0,235993005.0,Intra-abdominal collection,148.0,3.0,596,66579008,Disorder of peritoneum,1087,1
C0031256,1229,664.0,276619008.0,Neonatal facial petechiae,158.0,3.0,424,50091001,Petechia,1372,1
C0031256,1229,664.0,276619008.0,Neonatal facial petechiae,158.0,3.0,1303,423716004,Petechiae of skin,1372,1
C0031350,2110,521.0,162397003.0,Pain in throat,82.0,4.0,845,405737000,Pharyngitis (disorder),645,1
C0031350,2110,642.0,267102003.0,Sore throat symptom,82.0,4.0,845,405737000,Pharyngitis (disorder),645,1
C0031736,349,791.0,238526000.0,Juvenile spring eruption,360.0,1.0,422,238525001,Polymorphic light eruption,1152,1
C0031736,349,791.0,238526000.0,Juvenile spring eruption,360.0,1.0,1536,367484009,Polymorphous light eruption,1152,1
C0031762,61,785.0,238528004.0,Actinic reaction,576.0,1.0,524,22649008,Photodermatitis (disorder),529,1
C0032238,1502,411.0,22253000.0,Pain (finding),2.0,136.0,359,83264000,Epidemic pleurodynia,769,1
C0032266,1503,135.0,300855001.0,Mass of digestive structure,11.0,22.0,625,17465007,Pneumatosis cystoides intestinalis,1243,1
C0032533,1230,411.0,22253000.0,Pain (finding),2.0,136.0,344,65323003,Polymyalgia rheumatica,191,2
C0032533,627,725.0,95415006.0,Polymyalgia,159.0,3.0,344,65323003,Polymyalgia rheumatica,191,2
C0032768,350,430.0,247398009.0,Neuropathic pain,13.0,16.0,671,2177002,Postherpetic neuralgia (disorder),322,2
C0032768,1504,411.0,22253000.0,Pain (finding),2.0,136.0,671,2177002,Postherpetic neuralgia (disorder),322,2
C0032772,628,430.0,247398009.0,Neuropathic pain,13.0,16.0,1474,17111003,Postinfectious neuralgia,139,2
C0032772,1505,411.0,22253000.0,Pain (finding),2.0,136.0,1474,17111003,Postinfectious neuralgia,139,2
C0032962,1506,473.0,239102001.0,Pruritus of pregnancy,215.0,2.0,1016,198881004,Pregnancy complications,295,2
C0032962,1506,473.0,239102001.0,Pruritus of pregnancy,215.0,2.0,1460,90821003,Complication related to pregnancy,295,2
C0032962,1231,126.0,91957002.0,Back pain complicating pregnancy,678.0,1.0,1016,198881004,Pregnancy complications,295,2
C0032962,1231,126.0,91957002.0,Back pain complicating pregnancy,678.0,1.0,1460,90821003,Complication related to pregnancy,295,2
C0033036,351,445.0,81681009.0,Junctional premature beats,657.0,1.0,716,406461004,Ectopic atrial beats,1308,1
C0033036,351,445.0,81681009.0,Junctional premature beats,657.0,1.0,717,63593006,Supraventricular premature beats,1308,1
C0033036,351,445.0,81681009.0,Junctional premature beats,657.0,1.0,1134,287057009,Atrial premature complex,1308,1
C0033036,351,445.0,81681009.0,Junctional premature beats,657.0,1.0,1361,284470004,Premature atrial contraction,1308,1
C0033103,1799,309.0,449707004.0,Edema of lower leg,491.0,1.0,43,78146007,Pretibial myxedema,1413,1
C0033117,2111,821.0,8034008.0,Painful penile erection,253.0,2.0,437,6273006,Priapism (disorder),313,2
C0033117,62,340.0,198027001.0,(Priapism) or (erection - painful),577.0,1.0,437,6273006,Priapism (disorder),313,2
C0033139,1507,215.0,193462001.0,Insomnia (disorder),38.0,7.0,1312,3972004,Primary insomnia,770,1
C0033575,1800,536.0,36729000.0,Prostatic pain (finding),443.0,1.0,1053,30281009,Disorder of prostate,60,3
C0033575,629,716.0,11441004.0,Prostatism (disorder),781.0,1.0,1053,30281009,Disorder of prostate,60,3
C0033575,1232,40.0,74117008.0,Prostatorrhea,344.0,2.0,1053,30281009,Disorder of prostate,60,3
C0033771,943,350.0,279333002.0,Pruritus of skin,8.0,26.0,952,64144002,Pruritic rash,1199,1
C0033771,943,684.0,418363000.0,Itching of skin,8.0,26.0,952,64144002,Pruritic rash,1199,1
C0033771,943,685.0,424492005.0,Itch of skin,8.0,26.0,952,64144002,Pruritic rash,1199,1
C0033772,1508,350.0,279333002.0,Pruritus of skin,8.0,26.0,1657,43118004,Prurigo papule,771,1
C0033772,1508,684.0,418363000.0,Itching of skin,8.0,26.0,1657,43118004,Prurigo papule,771,1
C0033772,1508,685.0,424492005.0,Itch of skin,8.0,26.0,1657,43118004,Prurigo papule,771,1
C0033893,352,156.0,25064002.0,Headache (finding),4.0,59.0,142,398057008,Tension-type headache,237,2
C0033893,352,156.0,25064002.0,Headache (finding),4.0,59.0,370,66551002,Psychogenic headache,237,2
C0033893,2112,170.0,330007.0,Occipital headache,450.0,1.0,142,398057008,Tension-type headache,237,2
C0033893,2112,170.0,330007.0,Occipital headache,450.0,1.0,370,66551002,Psychogenic headache,237,2
C0034150,353,527.0,190814002.0,Cryoglobulinemic purpura,352.0,2.0,560,387778001,Purpuric disorder,687,1
C0034372,63,494.0,192964002.0,Flaccid tetraplegia,246.0,2.0,1012,11538006,Quadriplegia (disorder),664,1
C0034544,944,430.0,247398009.0,Neuropathic pain,13.0,16.0,1340,82473003,Radiculitis (disorder),577,1
C0034931,2113,411.0,22253000.0,Pain (finding),2.0,136.0,1495,128079007,"Complex regional pain syndrome, type I",1115,1
C0034931,2113,411.0,22253000.0,Pain (finding),2.0,136.0,1496,2103002,Shoulder-hand syndrome,1115,1
C0034951,354,362.0,16059006.0,Aniseikonia (disorder),584.0,1.0,137,39021009,Disorder of refraction,203,2
C0034951,1801,735.0,75364009.0,Refractive diplopia,240.0,2.0,137,39021009,Disorder of refraction,203,2
C0035204,1802,91.0,158370002.0,[D]Respiratory abnormalities,690.0,1.0,602,50043002,Disorder of respiratory system,223,2
C0035204,1802,738.0,158381004.0,[D]Respiratory abnormalities NOS,690.0,1.0,602,50043002,Disorder of respiratory system,223,2
C0035204,1803,348.0,408690005.0,Restrained respiration,631.0,1.0,602,50043002,Disorder of respiratory system,223,2
C0035309,1509,814.0,399858007.0,Retina finding,385.0,1.0,749,399625000,Retinopathy,257,2
C0035309,1509,814.0,399858007.0,Retina finding,385.0,1.0,1176,29555009,Retinal disorder,257,2
C0035309,630,299.0,408311002.0,O/E - retinopathy,269.0,2.0,749,399625000,Retinopathy,257,2
C0035309,630,299.0,408311002.0,O/E - retinopathy,269.0,2.0,1176,29555009,Retinal disorder,257,2
C0035455,945,265.0,14310000.0,Purulent nasal discharge,36.0,8.0,674,70076002,Rhinitis (disorder),172,2
C0035455,945,582.0,8442000.0,Purulent rhinitis,36.0,8.0,674,70076002,Rhinitis (disorder),172,2
C0035455,1804,632.0,427897002.0,Rhinitis due to alpha-adrenergic blocking agent,316.0,2.0,674,70076002,Rhinitis (disorder),172,2
C0036093,64,831.0,90377008.0,Sialectasia,201.0,2.0,1518,10890000,Disorder of salivary gland,378,1
C0036323,2114,245.0,111005008.0,Schistosomal pigment deposition,94.0,4.0,1187,10087007,Infection by Schistosoma,1274,1
C0036323,2114,245.0,111005008.0,Schistosomal pigment deposition,94.0,4.0,1420,105661001,Disease due to Schistosomatidae,1274,1
C0036412,631,175.0,95798008.0,Scleral discoloration,131.0,3.0,878,33064008,Disorder of sclera,1176,1
C0036413,632,125.0,17417006.0,Thickening of skin,149.0,3.0,1005,95323007,Scleredema (disorder),417,1
C0036454,2115,50.0,2228002.0,Scintillating scotoma,642.0,1.0,746,12184005,Visual field defect,34,4
C0036454,2115,50.0,2228002.0,Scintillating scotoma,642.0,1.0,1404,23388006,Visual field scotoma,34,4
C0036454,633,706.0,193672005.0,Angioscotoma,366.0,1.0,746,12184005,Visual field defect,34,4
C0036454,633,706.0,193672005.0,Angioscotoma,366.0,1.0,1404,23388006,Visual field scotoma,34,4
C0036454,65,93.0,129625005.0,Ring scotoma,654.0,1.0,746,12184005,Visual field defect,34,4
C0036454,65,93.0,129625005.0,Ring scotoma,654.0,1.0,1404,23388006,Visual field scotoma,34,4
C0036454,1233,573.0,129626006.0,Quadrantic scotoma,428.0,1.0,746,12184005,Visual field defect,34,4
C0036454,1233,573.0,129626006.0,Quadrantic scotoma,428.0,1.0,1404,23388006,Visual field scotoma,34,4
C0037120,355,436.0,40829002.0,Acute edema,25.0,11.0,517,61233003,Silo-fillers' disease,1477,1
C0037274,1805,350.0,279333002.0,Pruritus of skin,8.0,26.0,1698,95320005,Disorder of skin,39,4
C0037274,1805,684.0,418363000.0,Itching of skin,8.0,26.0,1698,95320005,Disorder of skin,39,4
C0037274,1805,685.0,424492005.0,Itch of skin,8.0,26.0,1698,95320005,Disorder of skin,39,4
C0037274,634,570.0,367466007.0,Skin irritation,188.0,3.0,1698,95320005,Disorder of skin,39,4
C0037274,1234,125.0,17417006.0,Thickening of skin,149.0,3.0,1698,95320005,Disorder of skin,39,4
C0037274,66,527.0,190814002.0,Cryoglobulinemic purpura,352.0,2.0,1698,95320005,Disorder of skin,39,4
C0037278,1510,824.0,63757006.0,Osler's node,170.0,3.0,323,108365000,Infection of skin,1554,1
C0037280,635,359.0,206445003.0,Malarial pigment deposition,70.0,5.0,303,128938009,Parasitic infection of skin,707,1
C0037284,1806,161.0,63808004.0,Tuberculous chancre,165.0,3.0,1759,95324001,Skin lesion,121,3
C0037284,67,577.0,4373005.0,Clubbing of nail (disorder),95.0,4.0,1759,95324001,Skin lesion,121,3
C0037284,1235,276.0,285305004.0,Spots on skin (disorder),245.0,2.0,1759,95324001,Skin lesion,121,3
C0037315,636,661.0,79280005.0,Hypersomnia with sleep apnea,213.0,2.0,554,73430006,Sleep apnea,418,1
C0037672,1807,558.0,247962006.0,Sleep automatism,91.0,4.0,278,80495009,Sleep walking disorder,795,1
C0037769,1511,561.0,91175000.0,Seizure,1.0,169.0,1445,28055006,West syndrome,1244,1
C0037887,68,411.0,22253000.0,Pain (finding),2.0,136.0,335,61830005,Sphenopalatine neuralgia,665,1
C0037928,946,604.0,65605001.0,Edema of spinal cord,157.0,3.0,949,48522003,Spinal cord disease,886,1
C0037933,2116,205.0,267986004.0,Other back symptoms (disorder),399.0,1.0,153,267968002,Vertebral column syndromes,646,1
C0037933,2116,205.0,267986004.0,Other back symptoms (disorder),399.0,1.0,822,302934007,Disorder of spine,646,1
C0038034,1512,1.0,5168000.0,Sporotrichotic chancre,183.0,3.0,71,42094007,Sporotrichosis (disorder),1555,1
C0038220,947,561.0,91175000.0,Seizure,1.0,169.0,1120,230456007,Status epilepticus,731,1
C0038325,1513,618.0,444827008.0,Erythema of skin,3.0,89.0,1566,73442001,Stevens-Johnson syndrome,467,1
C0038325,1513,830.0,86735004.0,Erythematous condition,3.0,89.0,1566,73442001,Stevens-Johnson syndrome,467,1
C0038354,637,314.0,8579004.0,Projectile vomiting (disorder),782.0,1.0,689,29384001,Disorder of stomach,352,2
C0038354,1236,455.0,196754001.0,Gastric spasm,227.0,2.0,689,29384001,Disorder of stomach,352,2
C0038379,1237,490.0,155196009.0,(Esophoria) or (strabismus NOS) or (ophthalmoplegia NOS),275.0,2.0,802,128602000,Heterotropia,902,1
C0038868,356,737.0,16110005.0,Ophthalmoplegia (disorder),23.0,11.0,336,28978003,Progressive supranuclear ophthalmoplegia,688,1
C0038870,1238,411.0,22253000.0,Pain (finding),2.0,136.0,1395,175004,Supraorbital neuralgia,1535,1
C0039584,1239,470.0,366563009.0,Inflammatory testicular mass,323.0,2.0,485,64910008,Disorder of testis,455,1
C0039621,69,158.0,75140002.0,Carpopedal spasm,461.0,1.0,1545,10629009,Tetany (disorder),379,1
C0039978,70,23.0,247389006.0,Intercostal neuralgia,98.0,4.0,803,118946009,Disorder of thorax,832,1
C0040128,638,24.0,302072004.0,Pain in thyroid,469.0,1.0,1520,14304000,Disorder of thyroid gland,353,2
C0040128,639,761.0,302073009.0,Tenderness of thyroid,519.0,1.0,1520,14304000,Disorder of thyroid gland,353,2
C0040381,1240,411.0,22253000.0,Pain (finding),2.0,136.0,734,95794005,Tolosa-Hunt syndrome,1373,1
C0040409,71,584.0,30731004.0,Glossodynia (disorder),104.0,4.0,1556,69244009,Disorder of tongue,33,5
C0040409,640,145.0,399044006.0,Glossopyrosis (disorder),180.0,3.0,1556,69244009,Disorder of tongue,33,5
C0040409,2117,739.0,95527007.0,Paresthesia of tongue,698.0,1.0,1556,69244009,Disorder of tongue,33,5
C0040409,1808,163.0,95528002.0,Numbness of tongue,632.0,1.0,1556,69244009,Disorder of tongue,33,5
C0040409,1514,118.0,17565009.0,Hypoesthesia of tongue,276.0,2.0,1556,69244009,Disorder of tongue,33,5
C0040435,948,554.0,34570004.0,Loosening of tooth (disorder),290.0,2.0,103,234947003,Tooth disorder,578,1
C0040997,1515,411.0,22253000.0,Pain (finding),2.0,136.0,491,31681005,Trigeminal neuralgia,606,1
C0041105,1516,610.0,52559000.0,Motor dysfunction,90.0,4.0,690,87866006,Trismus (finding),607,1
C0041227,641,102.0,42849000.0,Trypanosomal chancre,83.0,4.0,17,78940002,Trypanosomiasis (disorder),1177,1
C0041309,2118,161.0,63808004.0,Tuberculous chancre,165.0,3.0,1449,66986005,Tuberculosis of skin,1435,1
C0041785,72,683.0,238851009.0,"Extensive congenital erosions, vesicles and reticulate scarring",142.0,3.0,597,81573002,Diffuse disease of connective tissue,983,1
C0041912,1241,265.0,14310000.0,Purulent nasal discharge,36.0,8.0,467,54150009,Upper respiratory infection,1066,1
C0041912,1241,582.0,8442000.0,Purulent rhinitis,36.0,8.0,467,54150009,Upper respiratory infection,1066,1
C0042024,73,361.0,129853007.0,Total urinary incontinence (finding),509.0,1.0,907,165232002,Urinary incontinence,31,5
C0042024,2119,771.0,87557004.0,Urge incontinence of urine,762.0,1.0,907,165232002,Urinary incontinence,31,5
C0042024,949,115.0,18886003.0,Primary enuresis,417.0,1.0,907,165232002,Urinary incontinence,31,5
C0042024,2120,53.0,78459008.0,Double incontinence (finding),333.0,2.0,907,165232002,Urinary incontinence,31,5
C0042024,1517,651.0,281862002.0,Daytime enuresis,618.0,1.0,907,165232002,Urinary incontinence,31,5
C0042025,1242,322.0,413343005.0,Mixed incontinence,738.0,1.0,578,22220005,Genuine stress incontinence,1374,1
C0042033,357,600.0,33350003.0,Menouria,361.0,1.0,1391,12011009,Female urinary-genital tract fistula,1309,1
C0042075,642,687.0,56574000.0,Polyuric state,120.0,3.0,898,128606002,Disorder of the urinary system,288,2
C0042075,642,687.0,56574000.0,Polyuric state,120.0,3.0,1352,41368006,Disorder of urinary tract,288,2
C0042075,2121,640.0,267062003.0,Genitourinary symptoms,400.0,1.0,898,128606002,Disorder of the urinary system,288,2
C0042075,2121,640.0,267062003.0,Genitourinary symptoms,400.0,1.0,1352,41368006,Disorder of urinary tract,288,2
C0042109,75,323.0,247472004.0,Weal,54.0,6.0,481,126485001,Urticaria (disorder),8,11
C0042109,75,323.0,247472004.0,Weal,54.0,6.0,911,64305001,Urticaria (morphologic abnormality),8,11
C0042109,643,57.0,201268009.0,Urticaria geographica,203.0,2.0,481,126485001,Urticaria (disorder),8,11
C0042109,643,57.0,201268009.0,Urticaria geographica,203.0,2.0,911,64305001,Urticaria (morphologic abnormality),8,11
C0042109,950,32.0,201269001.0,Menstrual urticaria,324.0,2.0,481,126485001,Urticaria (disorder),8,11
C0042109,950,32.0,201269001.0,Menstrual urticaria,324.0,2.0,911,64305001,Urticaria (morphologic abnormality),8,11
C0042109,1518,476.0,238686009.0,Delayed dermographism,222.0,2.0,481,126485001,Urticaria (disorder),8,11
C0042109,1518,476.0,238686009.0,Delayed dermographism,222.0,2.0,911,64305001,Urticaria (morphologic abnormality),8,11
C0042109,951,575.0,238688005.0,Cold reflex urticaria,194.0,2.0,481,126485001,Urticaria (disorder),8,11
C0042109,951,575.0,238688005.0,Cold reflex urticaria,194.0,2.0,911,64305001,Urticaria (morphologic abnormality),8,11
C0042109,1519,422.0,238689002.0,Delayed cold sensitivity,221.0,2.0,481,126485001,Urticaria (disorder),8,11
C0042109,1519,422.0,238689002.0,Delayed cold sensitivity,221.0,2.0,911,64305001,Urticaria (morphologic abnormality),8,11
C0042109,952,509.0,238690006.0,Persisting cholinergic urticaria,256.0,2.0,481,126485001,Urticaria (disorder),8,11
C0042109,952,509.0,238690006.0,Persisting cholinergic urticaria,256.0,2.0,911,64305001,Urticaria (morphologic abnormality),8,11
C0042109,74,239.0,238691005.0,Cholinergic pruritus,308.0,2.0,481,126485001,Urticaria (disorder),8,11
C0042109,74,239.0,238691005.0,Cholinergic pruritus,308.0,2.0,911,64305001,Urticaria (morphologic abnormality),8,11
C0042109,1809,460.0,238693008.0,Reflex urticaria,338.0,2.0,481,126485001,Urticaria (disorder),8,11
C0042109,1809,460.0,238693008.0,Reflex urticaria,338.0,2.0,911,64305001,Urticaria (morphologic abnormality),8,11
C0042109,953,22.0,238697009.0,Immune complex urticaria,44.0,7.0,481,126485001,Urticaria (disorder),8,11
C0042109,953,22.0,238697009.0,Immune complex urticaria,44.0,7.0,911,64305001,Urticaria (morphologic abnormality),8,11
C0042109,1520,232.0,402656007.0,Urticarial vasculitis (disorder),47.0,7.0,481,126485001,Urticaria (disorder),8,11
C0042109,1520,232.0,402656007.0,Urticarial vasculitis (disorder),47.0,7.0,911,64305001,Urticaria (morphologic abnormality),8,11
C0042251,1810,826.0,90053006.0,Hematocolpometra,691.0,1.0,1173,25658005,Disorder of vagina,341,2
C0042251,76,412.0,34363003.0,Pruritus of vagina,335.0,2.0,1173,25658005,Disorder of vagina,341,2
C0042268,1521,540.0,161818003.0,Vulval irritation,619.0,1.0,1663,198212006,Vaginitis and vulvovaginitis (disorder),924,1
C0042331,644,156.0,25064002.0,Headache (finding),4.0,59.0,1410,193030005,Migraine variants,863,1
C0042345,1811,268.0,237286004.0,Vulval varices in pregnancy,135.0,3.0,1060,128060009,Venous varices,83,3
C0042345,1811,268.0,237286004.0,Vulval varices in pregnancy,135.0,3.0,1061,399989005,Phlebectasia,83,3
C0042345,2122,404.0,308135003.0,Genital varices in the puerperium,197.0,2.0,1060,128060009,Venous varices,83,3
C0042345,2122,404.0,308135003.0,Genital varices in the puerperium,197.0,2.0,1061,399989005,Phlebectasia,83,3
C0042345,645,380.0,308187004.0,Vaginal varices in the puerperium,783.0,1.0,1060,128060009,Venous varices,83,3
C0042345,645,380.0,308187004.0,Vaginal varices in the puerperium,783.0,1.0,1061,399989005,Phlebectasia,83,3
C0042373,1812,334.0,276697006.0,Harlequin change,178.0,3.0,923,27550009,Vascular disorder,1098,1
C0042376,1813,156.0,25064002.0,Headache (finding),4.0,59.0,1467,128187005,Vascular headache,222,2
C0042376,1522,415.0,95660002.0,Thunderclap headache,295.0,2.0,1467,128187005,Vascular headache,222,2
C0042420,954,17.0,272030005.0,Syncope symptom,21.0,12.0,1188,398652001,Vasovagal attack,1200,1
C0042420,954,222.0,309585006.0,Syncope and collapse,21.0,12.0,1188,398652001,Vasovagal attack,1200,1
C0042454,358,83.0,206982000.0,[D]Other speech disturbance NOS,16.0,13.0,255,232416001,Velopharyngeal incompetence,849,1
C0042454,358,83.0,206982000.0,[D]Other speech disturbance NOS,16.0,13.0,1579,229727006,Velopharyngeal inadequacy,849,1
C0042454,358,83.0,206982000.0,[D]Other speech disturbance NOS,16.0,13.0,1580,278714002,Velopharyngeal insufficiency,849,1
C0042454,358,617.0,206978002.0,[D]Other speech disturbance,16.0,13.0,255,232416001,Velopharyngeal incompetence,849,1
C0042454,358,617.0,206978002.0,[D]Other speech disturbance,16.0,13.0,1579,229727006,Velopharyngeal inadequacy,849,1
C0042454,358,617.0,206978002.0,[D]Other speech disturbance,16.0,13.0,1580,278714002,Velopharyngeal insufficiency,849,1
C0042656,955,411.0,22253000.0,Pain (finding),2.0,136.0,755,75983009,Vidian neuralgia,1201,1
C0042769,1523,781.0,230491004.0,Postviral excessive daytime sleepiness,543.0,1.0,894,34014006,Viral disease,772,1
C0042795,1243,652.0,78455002.0,Subjective visual disturbance,45.0,7.0,277,421809001,Entoptic phenomenon,593,1
C0042798,1524,678.0,46183008.0,Spherical aberration of vision,487.0,1.0,34,7973008,Abnormal vision,106,3
C0042798,1524,678.0,46183008.0,Spherical aberration of vision,487.0,1.0,1575,246635007,Dim vision,106,3
