disease,symptom
Stevens-Johnson syndrome,Erythematous condition
Disorder of stomach,Projectile vomiting (disorder)
Disorder of stomach,Gastric spasm
Heterotropia,(Esophoria) or (strabismus NOS) or (ophthalmoplegia NOS)
Progressive supranuclear ophthalmoplegia,Ophthalmoplegia (disorder)
Supraorbital neuralgia,Pain (finding)
Disorder of testis,Inflammatory testicular mass
Tetany (disorder),Carpopedal spasm
Disorder of thorax,Intercostal neuralgia
Disorder of thyroid gland,Pain in thyroid
Disorder of thyroid gland,Tenderness of thyroid
Tolosa-Hunt syndrome,Pain (finding)
Disorder of tongue,Glossodynia (disorder)
Disorder of tongue,Glossopyrosis (disorder)
Disorder of tongue,Paresthesia of tongue
Disorder of tongue,Numbness of tongue
Disorder of tongue,Hypoesthesia of tongue
Tooth disorder,Loosening of tooth (disorder)
Trigeminal neuralgia,Pain (finding)
Trismus (finding),Motor dysfunction
Trypanosomiasis (disorder),Trypanosomal chancre
Tuberculosis of skin,Tuberculous chancre
Diffuse disease of connective tissue,"Extensive congenital erosions, vesicles and reticulate scarring"
Upper respiratory infection,Purulent nasal discharge
Upper respiratory infection,Purulent rhinitis
Urinary incontinence,Total urinary incontinence (finding)
Urinary incontinence,Urge incontinence of urine
Urinary incontinence,Primary enuresis
Urinary incontinence,Double incontinence (finding)
Urinary incontinence,Daytime enuresis
Genuine stress incontinence,Mixed incontinence
Female urinary-genital tract fistula,Menouria
Disorder of the urinary system,Polyuric state
Disorder of urinary tract,Polyuric state
Disorder of the urinary system,Genitourinary symptoms
Disorder of urinary tract,Genitourinary symptoms
Urticaria (disorder),Weal
Urticaria (morphologic abnormality),Weal
Urticaria (disorder),Urticaria geographica
Urticaria (morphologic abnormality),Urticaria geographica
Urticaria (disorder),Menstrual urticaria
Urticaria (morphologic abnormality),Menstrual urticaria
Urticaria (disorder),Delayed dermographism
Urticaria (morphologic abnormality),Delayed dermographism
Urticaria (disorder),Cold reflex urticaria
Urticaria (morphologic abnormality),Cold reflex urticaria
Urticaria (disorder),Delayed cold sensitivity
Urticaria (morphologic abnormality),Delayed cold sensitivity
Urticaria (disorder),Persisting cholinergic urticaria
Urticaria (morphologic abnormality),Persisting cholinergic urticaria
Urticaria (disorder),Cholinergic pruritus
Urticaria (morphologic abnormality),Cholinergic pruritus
Urticaria (disorder),Reflex urticaria
Urticaria (morphologic abnormality),Reflex urticaria
Urticaria (disorder),Immune complex urticaria
Urticaria (morphologic abnormality),Immune complex urticaria
Urticaria (disorder),Urticarial vasculitis (disorder)
Urticaria (morphologic abnormality),Urticarial vasculitis (disorder)
Disorder of vagina,Hematocolpometra
Disorder of vagina,Pruritus of vagina
Vaginitis and vulvovaginitis (disorder),Vulval irritation
Migraine variants,Headache (finding)
Venous varices,Vulval varices in pregnancy
Phlebectasia,Vulval varices in pregnancy
Venous varices,Genital varices in the puerperium
Phlebectasia,Genital varices in the puerperium
Venous varices,Vaginal varices in the puerperium
Phlebectasia,Vaginal varices in the puerperium
Vascular disorder,Harlequin change
Vascular headache,Headache (finding)
Vascular headache,Thunderclap headache
Vasovagal attack,Syncope symptom
Vasovagal attack,Syncope and collapse
Velopharyngeal incompetence,[D]Other speech disturbance NOS
Velopharyngeal inadequacy,[D]Other speech disturbance NOS
Velopharyngeal insufficiency,[D]Other speech disturbance NOS
Velopharyngeal incompetence,[D]Other speech disturbance
Velopharyngeal inadequacy,[D]Other speech disturbance
Velopharyngeal insufficiency,[D]Other speech disturbance
Vidian neuralgia,Pain (finding)
Viral disease,Postviral excessive daytime sleepiness
Entoptic phenomenon,Subjective visual disturbance
Abnormal vision,Spherical aberration of vision
Dim vision,Spherical aberration of vision
Abnormal vision,Chromatic aberration of vision
Dim vision,Chromatic aberration of vision
Abnormal vision,Visual alteration
Dim vision,Visual alteration
Disorder of vulva,Pruritus of vulva
Disorder of vulva,Dryness of vulva
Vulvitis (disorder),Inflammation of vulva
Verruca vulgaris,Penile warts
Wasting disease,Cachexia (finding)
Xeroderma (disorder),Dry skin (finding)
Hyposecretion of salivary gland,Drug-induced xerostomia
Aptyalism,Drug-induced xerostomia
Bradyarrhythmia,Fetal bradycardia
Post poliomyelitis syndrome,[D] Post polio exhaustion
Peripheral vascular disease,Paroxysmal vascular dilatation
Peripheral vascular disease,Pain at rest due to peripheral vascular disease
Corneal neovascularization,Vascularization of cornea
Eosinophilia myalgia syndrome,Pain (finding)
Erythema infectiosum,Erythema of skin
Erythema infectiosum,Erythematous condition
Complex partial epileptic seizure,Seizure
Psychomotor epilepsy,Seizure
Complex partial epileptic seizure,Partial seizure
Psychomotor epilepsy,Partial seizure
Frontal lobe epilepsy,Seizure
Epilepsia partialis continua,Seizure
Kojevnikov's epilepsy,Seizure
Epilepsia partialis continua,Partial seizure
Kojevnikov's epilepsy,Partial seizure
Essential hypertension,Paroxysmal hypertension
Monoplegia (disorder),Transient monoplegia
Monoplegia (disorder),Monoparesis (disorder)
Akinesia,Motor dysfunction
Livedo reticularis,Pale complexion
Synovial cyst,Mass of musculoskeletal structure
Erythema marginatum,Erythema of skin
Erythema marginatum,Erythematous condition
Brachial plexus neuralgia,Pain (finding)
Nutritional marasmus,Emaciated
Preinfarction syndrome,Angina
Preinfarction syndrome,Ischemic chest pain
Preinfarction syndrome,Pain (finding)
Spinocerebellar ataxia,Ataxia (finding)
Soft tissue infection,Purulent nasal discharge
Soft tissue infection,Purulent rhinitis
Umbilical granuloma,Disorder of umbilicus
Primary dysmenorrhea,Pain (finding)
Primary dysmenorrhea,Spasmodic dysmenorrhea
Migraine (disorder),Headache (finding)
Sciatic neuropathy,Sciatica (disorder)
Diabetic ophthalmoplegia,Ophthalmoplegia (disorder)
Chronic pain (finding),Alteration in comfort: chronic pain
Chronic pain (finding),Chronic abdominal pain
Chronic pain (finding),Chronic pelvic pain of female
Chronic pain (finding),Chronic intractable pain
Chronic pain (finding),[X]Other chronic pain
Chronic pain (finding),Generalized chronic body pains
Chronic pain (finding),Chronic vaginal pain
Hypersensitivity angiitis,Urticarial vasculitis (disorder)
Atrophoderma,Stellate pseudoscar
Disorder of brain stem,Palatal myoclonus
Disorder of brain stem,Oculopalatal myoclonus
Hemorrhagic diarrhea,Diarrhea symptom
Hemorrhagic diarrhea,Loose stool
Myocardial ischemia,Angina
Ischemic heart disease,Angina
Myocardial ischemia,Ischemic chest pain
Ischemic heart disease,Ischemic chest pain
Biliary colic,Abdominal pain
Gallbladder pain,Abdominal pain
Biliary colic,Colicky pain
Gallbladder pain,Colicky pain
Biliary colic,Pain of digestive structure
Gallbladder pain,Pain of digestive structure
Disorder of pregnancy (disorder),Symptomatic disorders in pregnancy
Osteochondropathy,Bone pain (finding)
Osteochondropathy,Malignant bone pain
Osteochondropathy,Clavicle pain
Disorder of diaphragm,Paradoxical diaphragmatic movement
Disorder of diaphragm,Diaphragmatic tic
Disorder of diaphragm,Diaphragmatic paresis
Meralgia paresthetica (disorder),Pain (finding)
Meralgia paresthetica (disorder),Lateral femoral cutaneous neuralgia
Internuclear ophthalmoplegia,Ophthalmoplegia (disorder)
Exophthalmic ophthalmoplegia,Ophthalmoplegia (disorder)
Pylorospasm,Spasm (finding)
Cyclical vomiting syndrome,Uncontrollable vomiting
Anal spasm,Bowel spasm
Angina decubitus (disorder),Angina
Angina decubitus (disorder),Ischemic chest pain
Angina decubitus (disorder),Pain (finding)
Total internal ophthalmoplegia,Internal ophthalmoplegia
Esophoria (disorder),Incomitant esophoria (disorder)
Esophoria (disorder),(Esophoria) or (strabismus NOS) or (ophthalmoplegia NOS)
Lagophthalmos,Lid retraction &/or lag
Excessive tear production,Watering or tearing eyes (& [C/O])
Excessive tear production,Has watering eyes
Excessive tear production,Watery eye
Cholinergic urticaria,Persisting cholinergic urticaria
Cholinergic urticaria,Cholinergic pruritus
Toxic erythema (disorder),Erythema of skin
Toxic erythema (disorder),Erythematous condition
Toxic erythema (disorder),Familial annular erythema
Placental polyp,Mass of female genital structure
Kayser-Fleischer ring,Chalcosis of cornea
Diarrhea of presumed infectious origin,Diarrhea symptom
Diarrhea of presumed infectious origin,Loose stool
Post-herpetic trigeminal neuralgia,Pain (finding)
"[X]Other late congenital syphilis, symptomatic",Saber shin
Vitamin A deficiency with Bitot's spot AND conjunctival xerosis,Bitot's spots
Other and unspecified extrapyramidal diseases and abnormal movement disorders (disorder),Athetoid movement
Other extrapyramidal disease and abnormal movement disorders (disorder),Athetoid movement
Other and unspecified extrapyramidal diseases and abnormal movement disorders (disorder),Paroxysmal dystonia
Other extrapyramidal disease and abnormal movement disorders (disorder),Paroxysmal dystonia
Vascular myelopathy,Edema of spinal cord
Monoplegia of upper limb,Monoparesis - arm
[X]Other specified paralytic syndromes,Flaccid paralysis
[X]Other specified paralytic syndromes,Drummers' palsy
[X]Other specified paralytic syndromes,Post-hemiplegic chorea
[X]Other specified paralytic syndromes,Todd's paresis
Migraine with aura,Headache (finding)
Disorder of meninges,Meningeal irritation
Glossopharyngeal neuralgia,Pain (finding)
Other nerve root or plexus disorder,Intercostal neuralgia
[X]Other nerve root and plexus disorders,Intercostal neuralgia
Other nerve root or plexus disorder,Ilioinguinal nerve neuralgia
[X]Other nerve root and plexus disorders,Ilioinguinal nerve neuralgia
Other mononeuritis lower limb,Cruralgia
Proliferative diabetic retinopathy (disorder),O/E - right eye proliferative diabetic retinopathy
Proliferative diabetic retinopathy (disorder),O/E - left eye proliferative diabetic retinopathy
Other intraretinal microvascular abnormality (disorder),Retinal arteries silverwire
Transient arterial retinal occlusion,Amaurosis fugax
Psychophysical visual disturbance,Visual hallucinations
Psychophysical visual disturbance,Unformed visual hallucinations
Psychophysical visual disturbance,Formed visual hallucinations
Psychophysical visual disturbance,Visual alteration
Psychophysical visual disturbance,Formed hallucinations of people
Diffuse interstitial keratitis,Diffuse inflammation
Localized vascularization of cornea,Vascularization of cornea
Anterior corneal pigmentation,Stahli's line
Conjunctival cyst,Mass of eye structure
Conjunctival cyst,Swelling of structure of eye
Other conjunctival disorders,Mucus conjunctival discharge
Other conjunctival disorders,Mucopurulent conjunctival discharge
Other eyelid disorder NOS,Rosenbach's sign
Other eyelid disorders,Rosenbach's sign
Other eyelid disorder NOS,Swelling of eyelid (finding)
Other eyelid disorders,Swelling of eyelid (finding)
[X]Other disorders of sclera,Scleral discoloration
Other scleral disorders NOS,Scleral discoloration
[X]Other disorders of sclera,Sclerotomal pain
Other scleral disorders NOS,Sclerotomal pain
Scleral staphyloma,Total scleral ectasia
Disorder of pinna,Generalized tenderness in pinna
Benign paroxysmal positional vertigo (disorder),Benign paroxysmal positional vertigo nystagmus
Vertigo of central origin,Subjective vertigo
Vertigo of central origin,Brain stem vertigo
[X]Other disorders of ear,Ear pressure sensation
Other ear disorders,Ear pressure sensation
[X]Other disorders of ear,Sensation of pressure in ear
Other ear disorders,Sensation of pressure in ear
[X]Other disorders of ear,Sensation of blocked ears
Other ear disorders,Sensation of blocked ears
[X]Other disorders of ear,Mass of ear structure
Other ear disorders,Mass of ear structure
[X]Other disorders of ear,Swelling of ear structure
Other ear disorders,Swelling of ear structure
Vulval varices,Vulval varices in pregnancy
Vulval varices,Genital varices in the puerperium
Other specified diseases of circulatory system,Prominent leg veins - symptom
Sore throat - chronic,Pain in throat
Sore throat - chronic,Sore throat symptom
Simple chronic bronchitis,Bronchorrhea
Simple chronic bronchitis,Smokers' cough
Acute pulmonary edema due to fumes AND/OR vapors,Acute edema
Acute pulmonary edema,Acute edema
Gingival and periodontal disease,Sore gums
Cyst of oral soft tissue,Mass of oral cavity
Other specified tongue conditions NOS,Hypoesthesia of tongue
Other specified tongue conditions,Hypoesthesia of tongue
Disorder of function of stomach,Gastrointestinal symptom
Other appendix diseases NOS,Appendiceal colic
Other diseases of appendix NOS,Appendiceal colic
Other appendix diseases NOS,Appendicular colic
Other diseases of appendix NOS,Appendicular colic
Functional diarrhea,Diarrhea due to ingestion of unabsorbable substances
[X]Other specified disorders of prostate,Prostatorrhea
[X]Other specified disorders of breast,Subinvolution of breast
[X]Other specified disorders of breast,"Breast subinvolution, postpartum"
[X]Other specified disorders of breast,Postpartum subinvolution of breast
[X]Other specified disorders of breast,Peau d'orange surface of breast
[X]Other specified disorders of breast,Generalized tenderness of breast
[X]Other specified disorders of breast,Localized tenderness of breast
Endometriosis of ovary,Pain (finding)
Endometriosis of pelvic peritoneum,Pain (finding)
Endometriosis of rectovaginal septum and vagina,Pain (finding)
Endometriosis of intestine,Pain (finding)
Endometriosis in scar of skin,Pain (finding)
Noninflammatory disorder of the vagina,Abnormal vaginal odor
Menopausal and postmenopausal disorders,Menopausal problem
Eclampsia in puerperium,Seizure
Hyperemesis gravidarum with metabolic disturbance - delivered,Finding of vomiting
Hyperemesis gravidarum with metabolic disturbance - delivered,Vomiting symptom
Other disorder of lactation unspecified,Breastfeeding painful
[X]Other and unspecified disorders of lactation,Breastfeeding painful
Other disorder of lactation NOS,Breastfeeding painful
Other abnormal granulation tissue NOS,Abnormal granulation tissue
Other specified nail disease NOS,Subungual hyperkeratosis
Other specified nail disease,Subungual hyperkeratosis
Other specified nail disease NOS,Koilonychia
Other specified nail disease,Koilonychia
Other specified nail disease NOS,Lamellar nail splitting
Other specified nail disease,Lamellar nail splitting
Other specified nail disease NOS,Beau's lines
Other specified nail disease,Beau's lines
Other specified nail disease NOS,Clubbing of nail (disorder)
Other specified nail disease,Clubbing of nail (disorder)
Other specified nail disease NOS,Onychomadesis
Other specified nail disease,Onychomadesis
Other specified nail disease NOS,Change in nail appearance
Other specified nail disease,Change in nail appearance
Other specified nail disease NOS,Nail shedding
Other specified nail disease,Nail shedding
Other specified nail disease NOS,Splits in nails
Other specified nail disease,Splits in nails
Other specified nail disease NOS,Grooving of nail
Other specified nail disease,Grooving of nail
Other specified nail disease NOS,Thin nails
Other specified nail disease,Thin nails
Other specified nail disease NOS,Transverse split nail
Other specified nail disease,Transverse split nail
Other specified nail disease NOS,Splitting toenail
Other specified nail disease,Splitting toenail
Other specified sweat gland disorders,Unpleasant odor of axilla
Other specified sweat gland disorders,Unpleasant odor of genitalia
Derangement of knee (disorder),Knee locking
Other specified joint disorders of the hand,Finger joint laxity
Other specified joint disorders of the lower leg,Infrapatellar tenderness
Other specified joint disorders of the ankle and foot,Metatarsophalangeal joint laxity
"Joint disorder NOS, of shoulder region",Popeye sign
"Joint disorder NOS, of shoulder region",Shoulder joint laxity
"Joint disorder NOS, of the upper arm",Elbow joint laxity
"Joint disorder NOS, of the forearm",Wrist joint laxity
Arthropathy of joint of hand,Thumb joint laxity
Diffuse cervicobrachial syndrome,Cervicobrachialgia
Disorder of sacrum,Sacrocoxalgia
Disorder of sacrum,Sacral back pain
Disorder of sacrum,Sacroiliac joint pain
Disorder of sacrum,Sacroiliac joint laxity
Disorder of sacrum,Sacroiliac joint stiff
Other disorder of coccyx -RETIRED-,Pain in the coccyx
Back disorders - other,Lumbar ache - renal
Back disorders - other,Cervical spine stiff
Enthesopathy of ankle AND/OR tarsus,Metatarsalgia (finding)
"Other synovial, tendon and bursa disorders",Tendon sheath effusion
"Other disorders of the synovium, tendon and bursa",Tendon sheath effusion
"Other synovial, tendon and bursa disorders",Nodule on tendon
"Other disorders of the synovium, tendon and bursa",Nodule on tendon
"Other synovial, tendon and bursa disorders",Thickening of tendon sheath
"Other disorders of the synovium, tendon and bursa",Thickening of tendon sheath
Ganglion of joint,Mass of musculoskeletal structure
"Muscle, ligament and fascia disorders",Spastic paraparesis
"Muscle, ligament and fascia disorders",Musculoskeletal hypomobility
"Muscle, ligament and fascia disorders",Musculoskeletal immobility
"Muscle, ligament and fascia disorders",Cerebral paraparesis
"Muscle, ligament and fascia disorders",Weakness of face muscles
"Muscle, ligament and fascia disorders",Floppy muscles
"Muscle, ligament and fascia disorders",Muscle tone atonic
"Muscle, ligament and fascia disorders",Upper facial weakness
"Muscle, ligament and fascia disorders",Quadriceps weakness
"Muscle, ligament and fascia disorders",Calf muscle weakness
[X]Other soft tissue disorders,Polyalgia
[X]Other soft tissue disorders,Mass of body region
[X]Other soft tissue disorders,Mass of trunk
Transitory tachypnea of newborn (disorder),Tachypnea (finding)
Perinatal jaundice due to hepatocellular damage,Hepatocellular jaundice
Convulsions in the newborn,Seizure
[X]Other specified conditions originating in the perinatal period,Fetal souffle
[X]Other specified conditions originating in the perinatal period,Excessive crying of newborn
[X]Other specified conditions originating in the perinatal period,Disorder of umbilicus
Corneal deposit,Corneal pigmentations and deposits
Corneal deposit,Melanin pigmentation of cornea
Corneal deposit,Blood pigmentation of cornea
External ophthalmoplegia,Ophthalmoplegia (disorder)
Multiple joint pain,Joint pain
Deficiency state,Starvation (disorder)
Undernourished,Starvation (disorder)
Nutritional deficiency,Starvation (disorder)
Deficiency state,Inanition (disorder)
Undernourished,Inanition (disorder)
Nutritional deficiency,Inanition (disorder)
Bacterial infection of skin,Meningococcal rash
Fukuhara syndrome,Seizure
Myoclonus epilepsy AND ragged red fibers,Seizure
Myoclonic epilepsy - ragged red fibers,Seizure
Hypogonadism with anosmia,Loss of sense of smell
Vascular disease of the skin,Face goes red
Vascular disease of the skin,Stellate pseudoscar
Skin hypopigmented,Achromia of skin (disorder)
Depigmentation,Achromia of skin (disorder)
Disorder of skin AND/OR subcutaneous tissue,Blanching of skin (finding)
Disorder of skin AND/OR subcutaneous tissue,Scaly scalp
Disorder of skin AND/OR subcutaneous tissue,Perineal irritation
Disorder of skin AND/OR subcutaneous tissue,Abnormal complexion
Disorder of skin AND/OR subcutaneous tissue,Stinging of skin
Disorder of skin AND/OR subcutaneous tissue,Sore skin (finding)
Disorder of reproductive system,Pruritus of genital organs
Algoneurodystrophy (disorder),Pain (finding)
Fatal familial insomnia,Insomnia (disorder)
Cardiac syndrome X,Chest pain
Cardiac syndrome X,[X]Other chest pain
Endolymphatic hydrops,Secondary endolymphatic hydrops
Familial neonatal seizures,Seizure
Benign neonatal familial convulsions,Seizure
Mauriac's syndrome,Large liver
Myxedema heart disease,Hard edema
Ophthalmoplegic migraine,Headache (finding)
Ophthalmoplegic migraine,Ophthalmoplegia (disorder)
Abortive cerebellar ataxia,Cerebellar ataxia
Obstipation (disorder),Constipation (disorder)
Urticaria due to cold,Cold reflex urticaria
Urticaria due to cold,Delayed cold sensitivity
Angular cheilitis,(Sore lip) or (angular stomatitis &/or cheilitis)
Perleche,(Sore lip) or (angular stomatitis &/or cheilitis)
Necrolytic migratory erythema,Erythema of skin
Necrolytic migratory erythema,Erythematous condition
Dystrophia unguium,Koilonychia
Dystrophia unguium,Lamellar nail splitting
Dystrophia unguium,Beau's lines
Retraction of nipple (disorder),[X]Other signs and symptoms in breast
Syphilitic gumma (disorder),Gummatous inflammation (morphologic abnormality)
Joint function disorder,Range of joint movement increased
Joint function disorder,Joint laxity
Xiphodynia,Chest pain
Xiphodynia,Bone pain (finding)
Achillodynia,Pain in lower limb (finding)
Achillodynia,Tenalgia
Ventilatory defect,Abnormal breathing
Ether apnea,Drug-induced apnea
Continuous murmur,"[D]Heart murmur, undiagnosed"
Chronic constipation with overflow,Diarrhea symptom
Chronic constipation with overflow,Loose stool
Nervous diarrhea,Diarrhea symptom
Nervous diarrhea,Loose stool
Hydrorrhea gravidarum,Clinical sign related to pregnancy
Exhaustion delirium,Exhaustion
Physiological disturbance associated with mood,Mood hypersomnia
General areflexia,Abnormal reflex
Acroparesthesia (finding),Paresthesia (finding)
Allergic headache,Headache (finding)
Atypical neuralgia,Neuropathic pain
Atypical neuralgia,Pain (finding)
Stump neuralgia,Pain (finding)
Athetoid paralysis,Athetoid movement
Athetoid paralysis,Involuntary movement
Athetoid paralysis,Involuntary movement symptom
Hypotensive syncope,Syncope symptom
Hypotensive syncope,Syncope and collapse
Tussive syncope,C/O - cough
Amusia,[X]Other and unspecified symbolic dysfunctions
Amusia,[D]Other symbolic dysfunction
Anosognosia,[D]Other general symptoms NOS
Anosognosia,[D]Other general symptoms
Anarthria,[D]Other speech disturbance NOS
Anarthria,[D]Other speech disturbance
Motor apraxia,[X]Other and unspecified symbolic dysfunctions
Motor apraxia,[D]Other symbolic dysfunction
Generalized seizure,Seizure
Generalized seizure,Tonic-clonic seizure
Generalized seizure,Grand mal seizure
Central convulsion,Seizure
Puerperal convulsion,Seizure
Tetanic convulsion,Seizure
Epileptic cry,Seizure
Postseizure delirium,Seizure
Stress seizure,Seizure
Cortical vertigo,Subjective vertigo
Ocular vertigo,Subjective vertigo
Ocular vertigo,Dizziness and giddiness
Cerebellar vertigo,Subjective vertigo
Annular erythema,Erythema of skin
Annular erythema,Erythematous condition
Annular erythema,Familial annular erythema
"Simple partial seizure, consciousness not impaired",Seizure
"Simple partial seizure, consciousness not impaired",Partial seizure
Motor cortex epilepsy,Seizure
Cycloplegia,Internal ophthalmoplegia
Disorder of vein,Distended umbilical veins
Respiratory tract hemorrhage (disorder),Blood streaked sputum
Neonatal diarrhea,Diarrhea symptom
Neonatal diarrhea,Loose stool
Ocular-mucous membrane syndrome,Erythema of skin
Ocular-mucous membrane syndrome,Erythematous condition
Gastric polyp,Mass of digestive structure
Gastric polyposis,Mass of digestive structure
Application site disorder,Application site anesthesia
Lennox-Gastaut syndrome (disorder),Seizure
Juvenile myxedema,Hard edema
Polyp of larynx,Mass of respiratory structure
Spasm of back muscles,Spasm (finding)
Autonomic facial cephalgia,Headache (finding)
Carotidynia,Headache (finding)
Autonomic facial cephalgia,Pain (finding)
Carotidynia,Pain (finding)
Liver mass,Mass of digestive structure
Induration of skin,Changes in skin texture
Endometriosis of pelvis,Pain (finding)
Angiomatosis of retina,Mass of eye structure
Angiomatosis of retina,Swelling of structure of eye
Color vision deficiency,Visual alteration
Congenital disease,"Extensive congenital erosions, vesicles and reticulate scarring"
Retinal edema,Localized retinal edema
Retinal edema,Peripheral retinal edema
Disorder of auditory system,Leudet's tinnitus
Auditory dysfunction,Leudet's tinnitus
Hearing disorder,Leudet's tinnitus
Histologic type of inflammatory skin disorder,Trypanosomal chancre
Diffuse dermatitis,Diffuse inflammation
Abscess of umbilicus,Disorder of umbilicus
Cellulitis of umbilicus,Disorder of umbilicus
Acute lymphangitis of umbilicus,Disorder of umbilicus
Juvenile pyoderma,Pustular rash (morphologic abnormality)
Bacterid,Pustular rash (morphologic abnormality)
Pustular bacterid,Pustular rash (morphologic abnormality)
"Erythema multiforme, dermal type",Erythema of skin
"Erythema multiforme, dermal type",Erythematous condition
"Erythema multiforme, mixed dermal-epidermal type",Erythema of skin
"Erythema multiforme, mixed dermal-epidermal type",Erythematous condition
"Erythema multiforme, epidermal type",Erythema of skin
"Erythema multiforme, epidermal type",Erythematous condition
Erythema iris,Erythema of skin
Erythema iris,Erythematous condition
Herpes iris,Erythema of skin
Herpes iris,Erythematous condition
Immunologic urticaria,Immune complex urticaria
"Urticaria pigmentosa, maculopapular type",Macule (morphologic abnormality)
Pruritus senilis,Pruritus of skin
Pruritus senilis,Itching of skin
Pruritus senilis,Itch of skin
Pruritus senilis,Other specified pruritic conditions (disorder)
Prurigo simplex,Pruritus of skin
Prurigo simplex,Itching of skin
Prurigo simplex,Itch of skin
Prurigo nodularis (disorder),Pruritus of skin
Prurigo nodularis (disorder),Itching of skin
Prurigo nodularis (disorder),Itch of skin
Erythema gyratum repens,Erythema of skin
Erythema gyratum repens,Erythematous condition
Erythema annulare centrifugum,Erythema of skin
Erythema annulare centrifugum,Erythematous condition
Erythema annulare centrifugum,Familial annular erythema
Erythema dyschromicum perstans,Erythema of skin
Erythema dyschromicum perstans,Erythematous condition
"Other specified erythematous condition, NEC",Erythema of skin
"Other specified erythematous condition, NEC",Erythematous condition
Erythema elevatum diutinum (disorder),Erythema of skin
Erythema elevatum diutinum (disorder),Erythematous condition
Ulerythema,Erythema of skin
Ulerythema,Erythematous condition
Ulerythema of cheeks,Erythema of skin
Ulerythema of cheeks,Erythematous condition
Granulosis rubra nasi,Erythema of skin
Granulosis rubra nasi,Erythematous condition
Erythromelanosis follicularis of face AND/OR neck,Erythema of skin
Erythromelanosis follicularis of face AND/OR neck,Erythematous condition
Chlorpromazine pigmentation,Drug pigmentation
Chrysoderma,Drug pigmentation
Hypertrophic condition of skin,Abnormal granulation tissue
Painful piezogenic pedal papules,Pain (finding)
Painful pigmented pressure papules,Pain (finding)
Surfer's nodules,"[D]Local superficial swelling, mass or lump NOS"
Surfer's nodules,"[D]Local superficial swelling, mass or lump"
Slap nodules of wrist,"[D]Local superficial swelling, mass or lump NOS"
Slap nodules of wrist,"[D]Local superficial swelling, mass or lump"
Picker's nodules,"[D]Local superficial swelling, mass or lump NOS"
Picker's nodules,"[D]Local superficial swelling, mass or lump"
Musculoskeletal and connective tissue disorder,Polyalgia
"Effusion of joint of other site, NEC",Painful swelling of joint
Snapping hip (disorder),(Other joint symptoms of the pelvic region and thigh) or (hip snapping) or (irritable hip)
Lumbago-sciatica due to displacement of lumbar intervertebral disc,Pain (finding)
Lumbago-sciatica due to displacement of lumbar intervertebral disc,Sciatica (disorder)
Grisel's syndrome,Wry neck/torticollis
Disorder of back,Ilioinguinal nerve neuralgia
Disorder of back,Genitofemoral nerve neuralgia
Putti-Chavany syndrome,Pain (finding)
Putti-Chavany syndrome,Sciatica (disorder)
Ganglion of aponeurosis,Mass of musculoskeletal structure
Disorder of soft tissue,Arm claudication
Primary fibrositis,Pain (finding)
Secondary fibrositis,Pain (finding)
Xiphoidalgia syndrome,Pain (finding)
Segmental dysfunction,Pain finding at anatomical site
Edema of nasopharynx,Edema of uvula
Cyst of pharynx,Mass of respiratory structure
Cyst of pharynx,Mass of digestive structure
Laryngeal hemiplegia,Hemiplegia (disorder)
Disorder of vocal cord,Aphonia paralytica
Grain-handlers' disease,Diffuse inflammation
Diaphragmatic cyst,Mass of musculoskeletal structure
Adductor spastic dysphonia,Spastic dysphonia
Adductor spastic dysphonia of organic voice tremor,Dysphonia of organic tremor
Abductor spastic dysphonia,Spastic dysphonia
Neurologic voice disorder,Flaccid dysphonia
Neurologic voice disorder,Spastic pseudobulbar dysphonia
Neurologic voice disorder,Dysphonia of organic tremor
Mixed flaccid-spastic pseudobulbar dysphonia,Flaccid dysphonia
Mixed flaccid-spastic pseudobulbar dysphonia,Spastic pseudobulbar dysphonia
Dysphonia of palatopharyngolaryngeal myoclonus,Myoclonic disorder
Apraxic aphonia,Loss of voice
Apraxic aphonia,[X]Other and unspecified symbolic dysfunctions
Apraxic aphonia,[D]Other symbolic dysfunction
Dysprosody of 'pseudoforeign dialect',[D]Other speech disturbance NOS
Dysprosody of 'pseudoforeign dialect',[D]Other speech disturbance
Vocal nodules in children,Mass of respiratory structure
Vocal nodules in adults,Mass of respiratory structure
"Angina, class I",Angina
"Angina, class I",Ischemic chest pain
"Angina, class I",Pain (finding)
"Angina, class I",[X]Other forms of angina pectoris
"Angina, class II",Angina
"Angina, class II",Ischemic chest pain
"Angina, class II",Pain (finding)
"Angina, class II",[X]Other forms of angina pectoris
"Angina, class III",Angina
"Angina, class III",Ischemic chest pain
"Angina, class III",Pain (finding)
"Angina, class III",[X]Other forms of angina pectoris
"Angina, class IV",Angina
"Angina, class IV",Ischemic chest pain
"Angina, class IV",Pain (finding)
"Angina, class IV",[X]Other forms of angina pectoris
Nocturnal angina,Angina
Nocturnal angina,Ischemic chest pain
Nocturnal angina,Pain (finding)
Status anginosus,Angina
Status anginosus,Ischemic chest pain
Status anginosus,Pain (finding)
Status anginosus,[X]Other forms of angina pectoris
Syncope anginosa,Angina
Syncope anginosa,Ischemic chest pain
Syncope anginosa,Pain (finding)
Syncope anginosa,[X]Other forms of angina pectoris
Acute coronary insufficiency,Pain (finding)
Conduction disorder of the heart (disorder),Tic-tac rhythm
Cyanotic congenital heart disease (disorder),Cyanosis of skin
Cyanotic congenital heart disease (disorder),Central cyanosis (disorder)
